"Title","Poem"
"Gabdulla Tukay   My Legacy","My tired soul, let peace be your reward,
It’s time to go to Allah, meet the Lord. 
Lift up your head; reveal your honest eyes,
Then take one final look into the skies. 
My friends, let mullahs heed my last request 
For them to sing my verse, when I am put to rest."
"Gabdulla Tukay   The Reply","Pushkin and Lermontov, two poets, two stars…
The third one is Tukai, he comes from the Tatars.
The venom you just drank exacerbates the pain,
Dreams of fortune and fame drive you insane.
The sea is infinite, no matter how you try,
You spill the water, and your tongue is dry.
You, sordid, miserable creature, stay away
Find other dogs like you, and join the fray,
Bark from a distance at the Milky Way."
"Gabdulla Tukay   From Shakespeare","What is it sitting on my loved one’s cheek?
An arrogant fly somehow managed to sneak;
What a happy creature this fly must be
Almighty God, why couldn’t it be me?"
"Gabdulla Tukay   Winter, Farewell","Winter go away, we’re tired of the cold.
Welcome spring is here, her carriage is of gold.
Vanish, Santa Clause, keep safe your snowy beard,
Watch out for the flowers you hated and feared.
The spring does not need a rifle or a sword
Her suite of butterflies obeys her every word."
"Gabdulla Tukay   Miracle","“All magic ended with the Prophet’s death; and never
Will a camel rise from stone, and no endeavor 
The moon’s great sphere shall split in two,” the sages say.
Should I believe them? Nay… A miracle occurred today.
It happened, that a friend of mine was passing by, 
And paid me back his debt – God only knows why!"
"Gabdulla Tukay   It Must Be Him","He’s the king of gossip, knows every tale.
Recently he bought a suit on sale.
A dandy, indeed, welcome everywhere,
Of his dancing prowess he’s quite aware.
No question, he knows how to snoop
In the paper you can read the scoop."
"Gabdulla Tukay   So Let Her Laugh","“Stop tormenting yourself: this girl is not for thee
She loves thee not, it is not meant to be.”
“Indeed, she makes a fool of me, I know,  
So what… Her teeth are white as snow. 
That pearly smile of hers, it is a fortune worth,
So let it brighten lives in heaven and earth.”"
"Gabdulla Tukay   Epitaph","I feel your heartbeat in my soul; you never died,
Your warmth and grace the two of us have tied,
And if you die, death is my only choice,
But while I breathe, I’ll hear your gentle voice.
You’re in my mind, yes, you are in my heart,
Not even death can break us two apart.
My love for you will never be surpassed,
And memories of it until my deathbed last."
"Gabdulla Tukay   Great Joy","Joyful you should be, men of Petersburg,
Same I want to wish to people in New York.
Hey, Berliner folks, where are your happy smiles?
Londoners, bring cheer to the gloomy British Isles.
I want to see you beaming, ‘shorties’ in Japan,
Finnish people and Chinese, it’s time to have some fun.
There is just one, who all of you could spare,
He’s Musa, Allah’s envoy, so better be aware."
"Gabdulla Tukay   Not All That Glitters Is Gold","At night a dazzling, splashy butterfly
Over the flowers joyfully would fly.
Then, once, he noticed something from afar,
Twas shimmering and shining, like a little star.
The butterfly loved beauty. In pure exultation 
He swiftly flew toward the amazing radiation.
It was a tiny ember in the bonfire left by a stranger, 
Landing on it the butterfly died, unaware of danger."
